date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:31:10	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202024%2014:31:09%20GMT	https://www.siouxvalleyccu.com/robots.txt		(from )
07:31:10	26269/26269	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202024%2014:31:09%20GMT	https://www.siouxvalleyccu.com/	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/index.html	(from )
07:31:11	21642/21642	---M--	200	added ('OK')	text/css	etag:%226a5d140b824d71:0%22	https://www.siouxvalleyccu.com/_inc/style.css?040219	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/_inc/style258a.css	(from https://www.siouxvalleyccu.com/)
07:31:11	4499/4499	---M--	200	added ('OK')	text/css	etag:%22631a7bf3e7d41:0%22	https://www.siouxvalleyccu.com/_inc/respond.css	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/_inc/respond.css	(from https://www.siouxvalleyccu.com/)
07:31:12	5735/5735	---M--	200	added ('OK')	text/css	etag:%229bb2ce93e7d41:0%22	https://www.siouxvalleyccu.com/_inc/flexslider.css	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/_inc/flexslider.css	(from https://www.siouxvalleyccu.com/)
07:31:13	4353/4353	---M--	200	added ('OK')	text/css	etag:%2278da9c264e7d41:0%22	https://www.siouxvalleyccu.com/_inc/rmm.css	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/_inc/rmm.css	(from https://www.siouxvalleyccu.com/)
07:31:14	3371/3371	---M--	200	added ('OK')	image/png	etag:%229e78afd64e7d41:0%22	https://www.siouxvalleyccu.com/images/icon.png	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/images/icon.png	(from https://www.siouxvalleyccu.com/)
07:31:14	93636/93636	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	(from https://www.siouxvalleyccu.com/)
07:31:15	22746/22746	---M--	200	added ('OK')	application/javascript	etag:%22789f6254e7d41:0%22	https://www.siouxvalleyccu.com/sab/jquery-ultimate-smartbanner.js	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/sab/jquery-ultimate-smartbanner.js	(from https://www.siouxvalleyccu.com/)
07:31:15	26269/26269	---M--	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202024%2014:31:15%20GMT	https://www.siouxvalleyccu.com/index.php	C:/Users/adam/Documents/Sites/https___www.siouxvalleyccu.com_/www.siouxvalleyccu.com/index-2.html	(from https://www.siouxvalleyccu.com/)
